item_id,category,question,reference_answer,rag_answer,vanilla_answer,author_rag_accuracy,author_vanilla_accuracy,author_notes
1,direct_fact,¿Qué significa la sigla POSEI?,POSEI es el Programa de Opciones Específicas por el Alejamiento y la Insularidad.,"Posee I, II y III es un programa de opciones especiales por el alejamiento e insularidad que adapta la PAC a las regiones ultraperiféricas.","Desafortunadamente, no tengo información específica sobre la sigla POSEI en el contexto de la agricultura canaria o algún otro campo que conozca. Es posible que sea una sigla utilizada dentro de un grupo específico, organización o programa relacionado con la agricultura en Canarias, pero sin más información no puedo proporcionar una respuesta precisa.

Si puedes proporcionar más contexto o detalles sobre POSEI, podría intentar ayudarte a encontrar la respuesta que buscas.",,,
2,direct_fact,¿Qué medida del POSEI cubre el plátano IGP «Plátano de Canarias»?,"La Medida II: ayuda a productores de plátano fresco con IGP, excepto plátanos hortaliza.","La Medida II del POSEI cubre el plátano IGP ""Plátano de Canarias"".","No tengo información sobre cómo el POSEI afecta al Plátano de Canarias, o si esta producción está cubierta por este programa.",,,
3,direct_fact,"¿De cuántos millones de euros dispone el programa POSEI Canarias 2026, según el corpus?","243,96 millones de euros (unos 206,32 de financiación comunitaria y 37,63 de ficha adicional).","El programa POSEI Canarias 2026 dispone de **243.96 millones de euros**, unos 206.32 millones de financiación comunitaria y 37.63 millones de ficha adicional.","Lo siento, pero no tengo información específica sobre el monto de fondos del programa POSEI Canarias 2026 en este momento. Si necesitas información actualizada y precisa sobre este tema, te recomendaría consultar directamente fuentes oficiales o documentos relacionados con el programa.",,,
6,temporal,¿Desde qué fecha rige el texto consolidado POSEI Canarias 2026?,Desde el 1 de enero de 2026.,Rige desde el 1 de enero de 2026.,"Lo siento pero no tengo información actualizada sobre cuándo se publicó el texto consolidado ""POSEI Canarias 2026"". 

Si necesitas esta información, te recomendaría contactar a la entidad o institución responsable de su creación para obtener más detalles.",,,
7,temporal,¿Desde cuándo es obligatoria la GIP en las explotaciones agrícolas españolas?,Desde el 1 de enero de 2013 (Real Decreto 1311/2012).,"La GIP (Gestión Integral de Plagas) es obligatoria desde el 1 de enero de 2013 en todas las explotaciones agrícolas españolas, según el Real Decreto 1311/2012.","No tengo información sobre la obligatoriedad de la Gip desde cuándo, pero sí puedo decirte que es un sistema de gestión integrada del agua.",,,
8,temporal,¿Cuándo se publicó en el BOC el Decreto 18/2025 que crea el REAC?,El 17 de marzo de 2025 (el decreto es de 10 de marzo).,"El Decreto 18/2025, de 10 de marzo, fue publicado en el BOC (Boletín Oficial del Estado) el 17 de marzo de 2025.","Lo siento, pero como mi conocimiento cesa en diciembre de 2023 y no tengo acceso a información en tiempo real o futura, no puedo proporcionar la fecha exacta en que se publicó el Decreto 18/2025 que crea el REAC. ¿Puedo ayudarte con algo más relacionado con agricultura canaria o el REAC?",,,
11,relationship,"¿Qué distinguen REAC, CUE y REA?","REAC registra la explotación y parcelas; CUE es el cuaderno digital de lo que se hace en ellas; REA es el régimen de abastecimiento de insumos, no el cuaderno.","REAC, CUE y REA son tres siglas que el agricultor confunde en Canarias:

*   **REAC**: Registro de Explotaciones Agrícolas de Canarias. Quién eres y qué parcelas tienes.
*   **CUE**: Cuaderno digital de explotación. Qué haces en esas parcelas (fitosanitarios, fertilización, riego, ecorregímenes).
*   **REA**: Régimen Específico de Abastecimiento. Compensación al coste de abastecer Canarias. No es el cuaderno.","Hasta donde llega mi conocimiento actualizado hasta diciembre de 2023, no tengo información específica sobre las acronimias REAC, CUE y REA en el contexto de la agricultura canaria o cualquier otro campo.

Si estos términos están relacionados con un aspecto específico de la agricultura canaria, como prácticas agrícolas, etiquetado de productos, regulaciones u otras áreas, no tengo información suficiente para proporcionar una respuesta detallada. 

Para obtener una respuesta precisa y actualizada, te recomendaría buscar en fuentes especializadas o consultas con expertos en la materia.",,,
12,relationship,¿Quién gestiona el REA y quién las medidas de apoyo a la producción local del POSEI?,El REA lo gestiona la Viceconsejería de Economía; las medidas de producción local las gestiona la Consejería de Agricultura.,"El REA (abastecimiento de insumos) lo gestiona la Viceconsejería de Economía e Internacionalización, no Agricultura. Las medidas de apoyo a la producción local del POSEI son gestionadas por la Consejería de Agricultura.","Lo siento, pero no tengo información precisa sobre quién gestiona actualmente el REA en Canarias y quién está al cargo de las Medidas de Apoyo a la Producción Local dentro del POSEI (Programa de Apoyo a la Economía Insular), ya que mi conocimiento se detiene en diciembre de 2023. 

Para obtener información más actualizada y precisa sobre estas iniciativas, te recomendaría contactar directamente con las autoridades locales o instituciones relevantes en Canarias. También podrías consultar el sitio web oficial de la Junta de Castilla y León o del Ministerio de Agriculture, Pesca y Alimentación para obtener información más actualizada sobre estos programas.",,,
13,relationship,¿Qué acción POSEI mira el viticultor que solo mantiene la viña DOP y cuáles mira la bodega?,El viticultor que mantiene la viña mira la Acción I.3; la bodega mira I.6 e I.7.,"La Acción I.3 del POSEI mira al viticultor que solo mantiene la viña DOP, y es la ayuda por hectárea para mantener vides destinadas a vinos con denominación de origen protegida. La Acciones I.6 e I.7 miran la bodega; son transformación y embotellado de vinos DOP producidos en Canarias y competitividad en la comercialización exterior de esos vinos respectivamente.",No tengo información suficiente para proporcionar una respuesta precisa sobre las acciones que un viticultor debe realizar según su situación con respecto a la producción de vino DOP y la certificación Bodega.,,,
16,spanning,¿Qué enfermedad puede hacer incumplir el 70 % de la cantidad de referencia del plátano IGP?,Una finca diezmada por Fusarium (mal de Panamá) puede dejar de cumplir el 70 % exigido por la Medida II.,"Mal de Panamá (Fusarium oxysporum f. sp. cubense, raza subtropical 4).","No tengo información específica sobre un tipo de enfermedad que cause una disminución del 70% en la producción de plátanos bajo el régimen IGP. Sin embargo, puedo mencionar algunas enfermedades comunes que pueden afectar a las plantas de plátano y causar pérdidas significativas.

Una de las enfermedades más importantes es el ""Necrosis Focal"" (NF) o también conocida como Necrosis Apical (NA). Esta enfermedad puede provocar la muerte de los extremos del tallo y de las hojas, lo que puede afectar negativamente la producción de frutas. 

Si necesitas más información sobre este tema, puedo intentar ayudarte a encontrar más datos o recomendarte buscar en fuentes especializadas.",,,
