item_id,category,split,source_file,page,question,reference_answer,keywords,retrieved_sources,retrieved_preview,rag_answer,vanilla_answer,mrr,ndcg,coverage,rag_accuracy,rag_completeness,rag_relevance,rag_faithfulness,rag_is_hallucination,vanilla_accuracy,vanilla_completeness,vanilla_relevance,vanilla_faithfulness,vanilla_is_hallucination,error
1,direct_fact,,,,¿Quién fundó AgroLLM?,Samuel Lorenzo fundó AgroLLM.,Samuel | Lorenzo,knowledge-base/asesor-canarias/cultivos/olivo.md | knowledge-base/compañia/carreras.md | knowledge-base/asesor-canarias/cultivos/pimiento.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/asesor-canarias/cultivos/berenjena.md | knowledge-base/compañia/carreras.md | knowledge-base/asesor-canarias/cultivos/pimiento.md | knowledge-base/compañia/resumen.md,"ÁSICAS DE ÁCIDOS GRASOS C14-C20 48% [EW] P/V. Dosis 0.0–1.0 l/Hl. Plazo de seguridad: NO PROCEDE. || zado a [jobs@agrollm.com](https://www.google.com/search?q=mailto%3Ajobs%40agrollm.com). Por favor, indica el título de la posición en el asunto del correo electrónico. *AgroLLM es una empresa comprometida con la igualdad de oportunidades la || AIRE LIBRE). - **OXIMUR 50 PM** (n.º ES-00982): OXIDO CUPROSO 50% (EXPR. EN CU) [WP] P/P. Dosis 1.0–2.0 Kg/ha. Plazo de seguridad: 10 (AIRE LIBRE). - **OXIMUR 50 PM** (n.º ES-00982): OXIDO CUPROSO 50% (EXPR. EN CU) [WP] P/P. Dosis 1.0–1.7 K",Samuel Lorenzo.,"Lo siento, pero no tengo información específica sobre quién fundó AgroLLM. Mi conocimiento se basa en mi entrenamiento hasta diciembre de 2023 y puede que no tenga información actualizada o detallada sobre esta organización. Si tienes más contexto o detalles sobre AgroLLM, estaré encantado de tratar de ayudarte a encontrar la información que buscas.",0.2500,0.5281,1.0000,5.0,4.0,5.0,3.0,False,5.0,4.0,3.0,2.0,False,
2,direct_fact,,,,¿En qué año se fundó AgroLLM según el resumen corporativo?,AgroLLM se fundó en 2015.,2015,knowledge-base/compañia/resumen.md | knowledge-base/compañia/carreras.md | knowledge-base/compañia/carreras.md | knowledge-base/productos/Preciollm.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/carreras.md | knowledge-base/asesor-canarias/04_sanidad_tercer_pais.md | knowledge-base/asesor-canarias/13_preguntas_frecuentes.md,"# Descripción General de AgroLLM AgroLLM es una firma innovadora de tecnología agrícola (AgTech) que opera con un equipo eficiente de 32 profesionales altamente cualificados de forma prioritariamente remota en España. La empresa cuenta con  || zado a [jobs@agrollm.com](https://www.google.com/search?q=mailto%3Ajobs%40agrollm.com). Por favor, indica el título de la posición en el asunto del correo electrónico. *AgroLLM es una empresa comprometida con la igualdad de oportunidades la || # Empleo en AgroLLM ## ¿Por qué unirte a AgroLLM? En AgroLLM no solo desarrollamos software: estamos revolucionando el sector agropecuario. Desde nuestra fundación en 2015, hemos evolucionado de ser una startup de rápido crecimiento a una e",AgroLLM fue fundada en 2015.,"Lo siento, pero no tengo información sobre el año de fundación de AgroLLM en mi base de conocimientos actualizada hasta la fecha. Si necesitas información específica o actualizada sobre esta empresa, te recomendaría consultar directamente su sitio web oficial o documentos corporativos para obtener la información más precisa.",1.0000,1.0000,1.0000,5.0,4.0,3.0,2.0,False,5.0,1.0,1.0,1.0,True,
3,direct_fact,,,,¿Cuál fue el primer producto de AgroLLM?,"El primer producto fue MercaLLM, un marketplace que conecta agricultores con cooperativas y compradores.",MercaLLM | marketplace,knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/carreras.md | knowledge-base/productos/Preciollm.md | knowledge-base/asesor-canarias/02_posei_marco.md | knowledge-base/asesor-canarias/13_preguntas_frecuentes.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/asesor-canarias/05_gip_y_fitosanitarios.md | knowledge-base/compañia/carreras.md,"# Sobre AgroLLM AgroLLM fue fundada por Samuel Lorenzo en 2020 como una startup de tecnología agrícola (AgroTech) diseñada para disromper un sector tradicional que necesitaba urgentemente optimizar sus procesos técnicos y comerciales. Su pr || # Empleo en AgroLLM ## ¿Por qué unirte a AgroLLM? En AgroLLM no solo desarrollamos software: estamos revolucionando el sector agropecuario. Desde nuestra fundación en 2015, hemos evolucionado de ser una startup de rápido crecimiento a una e || # PrecioLLM ## Resumen de la plataforma PrecioLLM es la plataforma de análisis económico y gestión de mercados de nivel empresarial de AgroLLM, diseñada para revolucionar la forma en que las cooperativas, organizaciones de productores (OPFH","El primer producto de AgroLLM fue MercaLLM, un mercado digital (marketplace) creado para conectar directamente a los agricultores locales con cooperativas y grandes compradores de destino.","Lo siento, pero no tengo información específica sobre el primer producto desarrollado por AgroLLM. Mi conocimiento se basa en datos disponibles hasta la fecha del corte (diciembre de 2023) y puede que no esté al día con las últimas noticias o desarrollos de la empresa. Si tienes más detalles sobre AgroLLM, puedo intentar ayudarte a encontrar información relevante.",1.0000,1.2263,1.0000,5.0,4.0,5.0,4.0,False,4.0,3.0,5.0,1.0,False,
4,direct_fact,,,,¿Cuántos empleados tiene AgroLLM tras la reestructuración?,AgroLLM opera con un equipo de 32 empleados.,32 | empleados,knowledge-base/asesor-canarias/12_cadena_frio.md | knowledge-base/compañia/carreras.md | knowledge-base/asesor-canarias/11_riego_salinidad_viento.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/asesor-canarias/13_preguntas_frecuentes.md | knowledge-base/compañia/cultura.md | knowledge-base/asesor-canarias/06_filoxera.md | knowledge-base/compañia/sobre_nosotros.md,"# Cadena de frío, empaquetado y comercialización El agricultor cobra cuando el fruto **llega bien**, no cuando se corta. En plátano IGP y en subtrópicos la cadena de frío y la categoría marcan la liquidación y, en su caso, la ayuda de comer || # Empleo en AgroLLM ## ¿Por qué unirte a AgroLLM? En AgroLLM no solo desarrollamos software: estamos revolucionando el sector agropecuario. Desde nuestra fundación en 2015, hemos evolucionado de ser una startup de rápido crecimiento a una e || . - Invierno en medianías: no copiar el turno de costa. Redes de estaciones agrometeorológicas de Cabildos / AgroCabildo: usar la estación más cercana, no una media de la isla. ## Sistema: goteo, filtros y taponamiento Diagnóstico habitual ",32 empleados.,"Lo siento, pero no tengo información actualizada sobre la estructura organizativa de AgroLLM o cualquier reestructuración que haya sufrido. Mi conocimiento se basa en datos hasta diciembre de 2023 y podría no reflejar cambios recientes. Si necesitas información específica sobre AgroLLM, te recomendaría consultar fuentes oficiales o noticias actualizadas para obtener la información más reciente.",0.5000,0.7737,1.0000,5.0,4.0,5.0,5.0,False,5.0,4.0,3.0,2.0,False,
5,direct_fact,,,,¿Dónde está la sede central de AgroLLM?,La sede central está en Santa Cruz de Tenerife.,Santa Cruz de Tenerife,knowledge-base/asesor-canarias/06_filoxera.md | knowledge-base/compañia/resumen.md | knowledge-base/asesor-canarias/cultivos/tomate.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/asesor-canarias/13_preguntas_frecuentes.md | knowledge-base/asesor-canarias/13_preguntas_frecuentes.md | knowledge-base/asesor-canarias/cultivos/citricos.md | knowledge-base/asesor-canarias/01_rol_del_asesor.md,"# Filoxera de la vid en Canarias Organismo: *Daktulosphaira vitifoliae* (Fitch). Es una de las plagas de cuarentena más graves para la viña canaria (pie franco tradicional, DOP). ## Marco legal La Orden de 12 de marzo de 1987 prohíbe la int || # Descripción General de AgroLLM AgroLLM es una firma innovadora de tecnología agrícola (AgTech) que opera con un equipo eficiente de 32 profesionales altamente cualificados de forma prioritariamente remota en España. La empresa cuenta con  || Caldo: Ver condic. específicos.. - **SULCOX WP** (n.º 23699): OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P. Dosis 0.1–0.3 %. Plazo de seguridad: 10 AIRE LIBRE 3 INVERNADERO. Caldo: Aire libre: 333-2.000 l/ha Invernadero mediante lanza/pis",Santa Cruz de Tenerife,"Lo siento, pero no tengo información específica sobre la ubicación exacta de la sede central de AgroLLM. Mi conocimiento se basa en datos disponibles hasta diciembre de 2023 y puede que haya cambios o actualizaciones posteriores a esa fecha. Si necesitas información más reciente o detallada, te recomendaría contactar directamente a AgroLLM o visitar su sitio web oficial para obtener la información más actualizada.",0.5000,0.6309,1.0000,5.0,4.0,5.0,5.0,False,2.0,1.0,3.0,4.0,False,
6,direct_fact,,,,¿Cuántos contratos activos gestiona AgroLLM?,AgroLLM gestiona 32 contratos activos.,32 | contratos,knowledge-base/compañia/resumen.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/resumen.md | knowledge-base/compañia/resumen.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/carreras.md | knowledge-base/compañia/cultura.md | knowledge-base/asesor-canarias/10_cuaderno_reac.md,"ocal que conecta los cuadernos de campo digitales de múltiples cooperativas con las bases de datos de las consejerías de agricultura y redes de alerta agroclimática. ## Escala e Impacto A pesar de contar con un equipo compacto, AgroLLM ha c || te ganó tracción con 7 contratos comerciales, incluyendo federaciones de exportadores y cadenas de distribución. - FitoLLM (Sanidad Vegetal): Un módulo multimodal para el diagnóstico visual de plagas y protocolos fitosanitarios (como el con || ura Sectorial (RedLLM)**: 2 contratos con consorcios agrícolas institucionales e integradores que unifican cuadernos de campo y alertas meteorológicas oficiales.",32.,"No tengo información actualizada sobre el número de contratos activos que gestiona AgroLLM. Mi conocimiento se detiene en la fecha del 01 de marzo de 2023 y no he sido actualizado desde entonces. Si necesitas información más reciente, te recomendaría contactar directamente a AgroLLM o consultar fuentes oficiales para obtener la información más actualizada posible.",1.0000,1.2263,1.0000,5.0,3.0,2.0,1.0,True,2.0,3.0,4.0,4.0,False,
7,direct_fact,,,,¿Cuántas plataformas integra el ecosistema actual de AgroLLM?,AgroLLM ofrece ocho plataformas de software basadas en IA.,ocho | 8,knowledge-base/compañia/carreras.md | knowledge-base/asesor-canarias/02_posei_marco.md | knowledge-base/productos/Riegollm.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/productos/Aguallm.md | knowledge-base/productos/Preciollm.md | knowledge-base/compañia/resumen.md | knowledge-base/productos/Papallm.md,"ealidad de movilidad del agricultor. - Realizar pruebas de usabilidad en entornos rurales e implementar sistemas de diseño consistentes. - Requisitos: +3 años de experiencia en diseño de interfaces de usuario. **Key Account Manager / Desarr || a que debe memorizar el asesor - **Medida I**: producción vegetal (frutas y hortalizas, vid, papa, tomate de invierno, vino, aloe, olivo, readaptación). - **Medida II**: plátano IGP. Es la ayuda estrella; va por organizaciones de productore || # RiegoLLM ## Resumen de la plataforma **RiegoLLM** es la plataforma de gestión hídrica y optimización del riego de precisión de nivel empresarial de AgroLLM, diseñada específicamente para dar respuesta a uno de los desafíos más críticos de",AgroLLM ofrece 8 soluciones de software basadas en Inteligencia Artificial que cubren toda la cadena de valor del sector agropecuario.,"Hasta mi fecha de conocimiento (diciembre del 2023), el ecosistema de AgroLLM se compone de varias plataformas, pero no tengo información específica sobre el número exacto. 

Sin embargo, puedo decirte que AgroLLM es una plataforma de inteligencia artificial agrícola desarrollada por la Universidad de Las Palmas de Gran Canaria y otras instituciones, con el objetivo de mejorar la productividad y sostenibilidad en la agricultura canaria.

El ecosistema de AgroLLM incluye varias plataformas y herramientas, como:

1.  La plataforma web de AgroLLM, donde se pueden encontrar recursos, datos y herramientas para la agricultura.
2.  La aplicación móvil de AgroLLM, que permite a los agricultores acceder a las herramientas y recursos de manera móvil.
3.  El sistema de gestión de datos de AgroLLM, que recopila y analiza datos sobre el cultivo, el clima y otros factores relevantes para la agricultura.

Es importante destacar que el ecosistema de AgroLLM está en constante evolución y se están agregando nuevas plataformas y herramientas con el tiempo.",0.3750,0.6509,1.0000,4.0,5.0,5.0,5.0,False,5.0,4.0,5.0,5.0,False,
8,direct_fact,,,,¿Cuál es la declaración de visión de AgroLLM?,"La visión es revolucionar el sector agropecuario mediante tecnología que haga el conocimiento técnico, el control fitosanitario y la gestión de ayudas accesible, transparente y ágil.",Revolucionar | agropecuario,knowledge-base/asesor-canarias/06_filoxera.md | knowledge-base/compañia/cultura.md | knowledge-base/asesor-canarias/cultivos/olivo.md | knowledge-base/compañia/resumen.md | knowledge-base/asesor-canarias/13_preguntas_frecuentes.md | knowledge-base/asesor-canarias/04_sanidad_tercer_pais.md | knowledge-base/asesor-canarias/11_riego_salinidad_viento.md | knowledge-base/productos/Riegollm.md,"# Filoxera de la vid en Canarias Organismo: *Daktulosphaira vitifoliae* (Fitch). Es una de las plagas de cuarentena más graves para la viña canaria (pie franco tradicional, DOP). ## Marco legal La Orden de 12 de marzo de 1987 prohíbe la int || # Cultura de AgroLLM ## Declaración de Visión Revolucionar el sector agropecuario mediante tecnología innovadora que haga el conocimiento técnico, el control fitosanitario y la gestión de ayudas accesible, transparente y ágil para cada agri || ÁSICAS DE ÁCIDOS GRASOS C14-C20 48% [EW] P/V. Dosis 0.0–1.0 l/Hl. Plazo de seguridad: NO PROCEDE.","Revolucionar el sector agropecuario mediante tecnología innovadora que haga el conocimiento técnico, el control fitosanitario y la gestión de ayudas accesible, transparente y ágil para cada agricultor, ganadero y técnico agrícola.","Lo siento, pero no tengo información específica sobre la Declaración de Visión de AgroLLM. Mi conocimiento se basa en mi entrenamiento hasta diciembre de 2023 y puede que no esté al día con los últimos desarrollos o actualizaciones del proyecto AgroLLM.

Si puedes proporcionarme más contexto o detalles sobre AgroLLM, puedo intentar ayudarte a encontrar la información que buscas.",0.5000,0.7737,1.0000,4.0,5.0,5.0,4.0,True,1.0,1.0,1.0,5.0,False,
9,direct_fact,,,,¿Cuántos contratos tiene PrecioLLM?,PrecioLLM tiene 7 contratos comerciales.,7 | PrecioLLM,knowledge-base/compañia/resumen.md | knowledge-base/compañia/resumen.md | knowledge-base/compañia/resumen.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/cultura.md | knowledge-base/asesor-canarias/10_cuaderno_reac.md | knowledge-base/asesor-canarias/12_cadena_frio.md,"ocal que conecta los cuadernos de campo digitales de múltiples cooperativas con las bases de datos de las consejerías de agricultura y redes de alerta agroclimática. ## Escala e Impacto A pesar de contar con un equipo compacto, AgroLLM ha c ||  exportadores, cadenas de distribución agroalimentaria y grandes cooperativas de las islas. - **Diagnóstico de Plagas y Sanidad (FitoLLM)**: 7 contratos firmados con redes de asesores técnicos agrícolas, empresas de control integrado de pla || ura Sectorial (RedLLM)**: 2 contratos con consorcios agrícolas institucionales e integradores que unifican cuadernos de campo y alertas meteorológicas oficiales.",No consta en el texto proporcionado.,"Lo siento, pero no tengo información actualizada sobre el número de contratos que posee PrecioLLM. Mi conocimiento se basa en datos hasta la fecha del corte (diciembre de 2023) y no estoy al día con los últimos eventos o desarrollos. Si necesitas información más reciente, te recomendaría consultar fuentes oficiales o actualizaciones recientes sobre PrecioLLM.",1.0000,1.2263,1.0000,3.0,2.0,4.0,1.0,False,2.0,3.0,1.0,4.0,False,
10,direct_fact,,,,¿Cuántos contratos tiene FitoLLM?,FitoLLM tiene 7 contratos de sanidad vegetal.,7 | FitoLLM,knowledge-base/compañia/resumen.md | knowledge-base/compañia/sobre_nosotros.md | knowledge-base/compañia/resumen.md | knowledge-base/compañia/resumen.md | knowledge-base/compañia/cultura.md | knowledge-base/asesor-canarias/10_cuaderno_reac.md | knowledge-base/asesor-canarias/12_cadena_frio.md | knowledge-base/compañia/sobre_nosotros.md," exportadores, cadenas de distribución agroalimentaria y grandes cooperativas de las islas. - **Diagnóstico de Plagas y Sanidad (FitoLLM)**: 7 contratos firmados con redes de asesores técnicos agrícolas, empresas de control integrado de pla || te ganó tracción con 7 contratos comerciales, incluyendo federaciones de exportadores y cadenas de distribución. - FitoLLM (Sanidad Vegetal): Un módulo multimodal para el diagnóstico visual de plagas y protocolos fitosanitarios (como el con || ura Sectorial (RedLLM)**: 2 contratos con consorcios agrícolas institucionales e integradores que unifican cuadernos de campo y alertas meteorológicas oficiales.","FitoLLM tiene 7 contratos firmados con redes de asesores técnicos agrícolas, empresas de control integrado de plagas y firmas de consultoría agronómica independientes.","No tengo información actualizada sobre el número de contratos que posee FitoLLM. Mi conocimiento se detiene en diciembre de 2023 y no tengo acceso a información en tiempo real. Si necesitas información más reciente, te recomiendo consultar fuentes oficiales o actualizaciones recientes del proyecto.",1.0000,1.2263,1.0000,,,,,,,,,,,timed out
